,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
529,청현마을기흥데시앙,경기도 용인시 기흥구 덕영대로2077번길 53,37.2656635,127.0938144,아파트주차장,12,5,17,10,15,166
530,보평마을 삼정그린뷰 아파트,경기도 용인시 처인구 금어로 74,37.2653799,127.2228773,아파트주차장,10,7,14,15,14,164
531,용인행정타운두산위브1단지,경기도 용인시 처인구 지삼로590번길 24,37.2379662,127.1669651,아파트주차장,11,7,5,25,14,162
532,용인행정타운두산위브3단지,경기도 용인시 처인구 지삼로590번길 29,37.2379662,127.1669651,아파트주차장,11,7,5,25,14,162
533,성현마을광명샤인빌,경기도 용인시 수지구 디지털벨리로 5,37.327677,127.1319098,아파트주차장,7,7,15,22,10,162
534,삼성쉐르빌아파트,경기도 용인시 처인구 포곡로 159,37.2721091,127.2222076,아파트주차장,10,9,17,5,14,161
535,대명레이크빌,경기도 용인시 기흥구 덕영대로2077번길 55,37.2656377,127.0926771,아파트주차장,12,5,16,9,15,161
536,흥덕마을14단지 호반베르디움,경기도 용인시 기흥구 흥덕3로 60,37.2739697,127.0831575,아파트주차장,8,13,3,15,28,159
537,모현KCC스위첸,경기도 용인시 처인구 외대로54번길 12,37.3342455,127.2534724,아파트주차장,8,11,16,4,16,156
538,용인성웅,경기도 용인시 처인구 영문로29번길 17,37.2674446,127.2070195,아파트주차장,14,7,10,11,5,155
539,용천여인숙,경기도 용인시 처인구 이동읍 원천로 3,37.1943356,127.2072612,숙박업소,9,9,17,3,12,150
540,카라반베이호텔,경기도 용인시 처인구 포곡읍 전대로 62,37.28422354,127.2188301,숙박업소,14,4,16,4,8,150
541,용인시청,경기도 용인시 처인구 중부대로 1199,37.240608,127.1772935,관공서,6,14,5,21,7,150
542,초당마을 삼부르네상스,경기도 용인시 기흥구 동백1로 12,37.2633455,127.1582015,아파트주차장,6,8,16,16,8,150
543,한보라마을휴먼시아7단지,경기도 용인시 기흥구 한보라2로 168,37.2447678,127.1084953,아파트주차장,0,14,13,11,32,149
544,샘골마을신미주1단지,경기도 용인시 처인구 백옥대로621번길 11,37.1922759,127.2045139,아파트주차장,9,9,16,4,12,149
545,힐스테이트 서천 아파트,경기 용인시 기흥구 서천동로 22,37.2403129,127.0755947,아파트주차장,10,15,3,9,10,147
546,홍실여인숙,경기도 용인시 처인구 포곡읍 전대로49번길 1 ,37.2830199,127.2197918,숙박업소,15,4,14,4,6,147
547,서농동,경기도 용인시 기흥구 서천동로 94,37.2403129,127.0755947,관공서,10,15,3,9,10,147
548,서천마을쌍용예가,경기도 용인시 기흥구 서천동로 60,37.2403129,127.0755947,아파트주차장,10,15,3,9,10,147
549,에이스카운티아파트,경기도 용인시 처인구 백옥대로 737,37.192076,127.2068598,아파트주차장,8,9,17,3,13,146
550,G7,경기도 용인시 처인구 포곡읍 전대로78번길 14-6,37.28609575,127.217695,숙박업소,13,5,14,5,8,145
551,에버파크,경기도 용인시 처인구 포곡읍 전대로 88,37.2854315,127.2165624,숙박업소,13,5,14,5,8,145
552,대성파크,경기도 용인시 처인구 포곡읍 전대로78번길 7,37.28559834,127.2170087,숙박업소,13,5,14,5,7,144
553,예진마을2차,경기도 용인시 처인구 한터로152번길 15,37.2467124,127.2290272,아파트주차장,9,4,20,7,8,143
554,자연파크,경기도 용인시 처인구 포곡읍 전대로78번길 14-4,37.28608641,127.2175596,숙박업소,13,5,13,5,7,141
555,구성휴먼시아물푸레마을휴먼시아3단지,경기도 용인시 기흥구 구성3로 65,37.2997605,127.1502859,아파트주차장,10,7,9,16,3,140
556,헤르메스호텔,경기도 용인시 처인구 포곡읍 전대로78번길 11-12,37.28630919,127.216487,숙박업소,13,5,12,5,8,139
557,알리앙스,경기도 용인시 처인구 모현읍 백옥대로 2326,37.33177264,127.247054,숙박업소,9,7,14,2,17,136
558,인정피렌체빌리지1차,경기도 용인시 처인구 한터로152번길 45,37.2461609,127.2308262,아파트주차장,9,4,18,7,7,136
559,삼라마이다스빌,경기도 용인시 처인구 명지로 307,37.2279881,127.2097069,아파트주차장,11,6,11,8,8,136
560,스파팰리스리가,경기도 용인시 기흥구 언남로 5,37.2978641,127.1329632,아파트주차장,10,7,12,7,7,135
561,배머루베네치아,경기도 용인시 처인구 영문로 64,37.2723034,127.209872,아파트주차장,10,5,14,6,9,133
562,명동여인숙,경기도 용인시 처인구 포곡읍 전대로78번길 16-1 ,37.2863223,127.2172302,숙박업소,12,5,12,5,7,133
563,골든튤립에버용인호텔,경기도 용인시 처인구 포곡읍 전대로78번길 19-2,37.2869629,127.2167584,숙박업소,12,5,11,5,8,131
564,용인라마다호텔,경기도 용인시 처인구 포곡읍 마성로 420,37.2865127,127.2165429,숙박업소,12,5,11,5,8,131
565,Q(큐)호텔,경기도 용인시 처인구 포곡읍 전대로110번길 10-3,37.2868472,127.2159236,숙박업소,12,5,11,5,8,131
566,블루힐,경기도 용인시 처인구 포곡읍 전대로78번길 23,37.2869629,127.2167584,숙박업소,12,5,11,5,8,131
567,한보라마을 경남아너스빌,경기도 용인시 기흥구 한보라2로 167,37.2431637,127.1083463,아파트주차장,0,12,12,8,31,131
568,리츠모텔,경기도 용인시 처인구 포곡읍 전대로78번길 18-1,37.28652763,127.2173662,숙박업소,12,5,11,5,7,130
