,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
40,구갈한양,25,41,37,41,82,564
41,구성더포레스트,14,9,15,20,8,199
42,구성신일해피트리,11,15,11,7,8,170
43,구성자이3차,11,21,34,23,22,309
44,구성휴먼시아물푸레마을휴먼시아3단지,10,7,9,16,3,140
45,금전마을리슈빌아파트,17,14,24,17,22,269
46,금평마을영화,8,5,9,10,9,116
47,금호베스트빌2단지,61,28,44,32,16,629
48,금호베스트빌3단지,60,33,43,31,13,636
49,금호베스트빌4단지,70,44,56,39,15,787
50,금호어울림아파트,56,48,32,29,39,665
51,금화마을대우현대,3,19,22,24,22,227
52,금화마을주공3단지,2,23,19,21,22,223
53,금화마을주공4단지,2,27,19,20,18,233
54,금화마을주공5단지,3,17,24,25,20,225
55,금화마을주공6단지,4,21,20,20,22,226
56,기흥더샵프라임뷰,36,40,29,39,59,564
57,기흥동부아파트,15,39,38,37,81,500
58,기흥동성,2,4,15,3,13,90
59,기흥삼정,13,49,25,11,14,372
60,기흥써니밸리,3,4,15,3,13,95
61,기흥역 더샵 아파트,8,33,36,33,77,423
62,기흥역 롯데캐슬레이시티,8,33,36,33,77,423
63,기흥역롯데캐슬스카이,11,11,21,20,27,229
64,기흥역센트럴푸르지오,18,26,24,43,66,418
65,기흥역지웰푸르지오(주상복합),8,33,36,33,77,423
66,기흥역파크푸르지오아파트,8,33,36,33,77,423
67,기흥파크뷰(새천년그린빌5단지),30,23,24,17,16,364
68,김량장동현대아파트,15,6,19,12,15,195
69,꽃메마을극동스타클래스,31,28,20,32,19,410
70,꽃메마을아이파크2차,35,32,27,37,26,484
71,꽃메마을한라신영프로방스,41,37,31,23,32,524
72,꽃메마을한라프로방스,42,35,26,33,27,521
73,꽃메마을현대홈타운4-4,39,38,28,24,29,508
74,꽃메마을현대홈타운4차3단지,40,38,29,29,27,524
75,꽃메마을현대힐스테이트4차2단지,53,47,37,33,39,669
76,내대지마을주공5단지,11,9,17,22,9,195
77,대명레이크빌,12,5,16,9,15,161
78,대원칸타빌,18,19,24,22,11,293
79,대지마을2차현대홈타운,50,51,43,35,39,692
80,대지마을현대홈타운3차2단지,45,43,40,28,32,605
81,더리버하임,53,59,40,31,51,734
