시군명,사업장명,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,
용인시,1984 M coffee(1984엠커피),경기도 용인시 처인구 금령로85번길 14-8 (김량장동),경기도 용인시 처인구 김량장동 133-51번지,17052,37.236443,127.2061014,
용인시,1번지,"경기도 용인시 기흥구 신갈로 52 (신갈동, 107호)",경기도 용인시 기흥구 신갈동 70 107호 ,17064,37.27127302,127.1059404,
용인시,1인자 감자탕,경기도 용인시 기흥구 구성로 135,,,,,
용인시,1인한식당 기흥점,경기도 용인시 기흥구 기흥로14번길 2-1,,,,,
용인시,1인한식당 둔전점,"경기도 용인시 처인구 포곡읍 포곡로118번길 9-1, 나동 1층 일부",경기도 용인시 처인구 포곡읍 둔전리 155-10 녹돈 ,17027,37.26941462,127.2192686,
용인시,22스퀘어,"경기도 용인시 수지구 광교중앙로 338, 광교 우미 뉴브 2층 R-222호 (상현동)",경기도 용인시 수지구 상현동 508-4번지 광교 우미 뉴브 ,16942,37.30030383,127.0713407,
용인시,24시누름돌생고기김치찌개,"경기도 용인시 기흥구 한보라2로 5-5, 보라메가타운 1층 102호 (보라동)",경기도 용인시 기흥구 보라동 578-3 102호,17079,37.25460225,127.1101996,
용인시,24시전주명가콩나물국밥,"경기도 용인시 기흥구 용구대로 2390-3 (마북동,1층)",경기도 용인시 기흥구 마북동 520-1번지 1층,16921,37.2995169,127.1075822,
용인시,24시전주명가콩나물국밥,"경기도 용인시 수지구 만현로 92 (상현동, IT프라자 106,107,107-1호)","경기도 용인시 수지구 상현동 257-1번지 IT프라자 106,107,107-1호",16930,37.3084549,127.0848879,
용인시,24시전주명가콩나물국밥 신갈점,경기도 용인시 기흥구 중부대로 375,,,,,
용인시,24시전주성콩나물국밥,"경기도 용인시 처인구 중부대로 1349, 1층 일부 (김량장동)",경기도 용인시 처인구 김량장동 292-5 ,17048,37.23521803,127.1948074,
용인시,25시뼈다귀,경기도 용인시 처인구 백암면 백암로 219-1 (1층),경기도 용인시 처인구 백암면 백암리 374-14번지 1층 ,17178,37.16558571,127.3734755,
