,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,Latitude,Longitude,이용가능시간,이용자 제한,지번주소,행정동
50,한국전력,동일하이빌2차아파트,2,AC완속,경기도,용인시,경기도 용인시 기흥구 언남동 언남로 15,37.2933368,127.1275089,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트,구성동
51,한국전력,동일하이빌2차아파트,3,AC완속,경기도,용인시,경기도 용인시 기흥구 언남동 언남로 15,37.2933368,127.1275089,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트,구성동
52,한국전력,동일하이빌2차아파트,4,AC완속,경기도,용인시,경기도 용인시 기흥구 언남동 언남로 15,37.2933368,127.1275089,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트,구성동
53,한국전력,동천마을 현대2차홈타운,1,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로63번길 10,37.3384777,127.0960934,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 862 동천마을현대2차홈타운,동천동
54,한국전력,동천마을 현대2차홈타운,2,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로63번길 10,37.3384777,127.0960934,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 862 동천마을현대2차홈타운,동천동
55,한국전력,동천마을 현대2차홈타운,3,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로63번길 10,37.3384777,127.0960934,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 862 동천마을현대2차홈타운,동천동
56,한국전력,동천마을 현대2차홈타운,4,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로63번길 10,37.3384777,127.0960934,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 동천동 862 동천마을현대2차홈타운,동천동
57,한국전력,래미안 수지 이스트파크,2,AC완속,경기도,용인시,경기도 용인시 수지구 풍덕천동 신수로683번길 19,37.3305836,127.1003832,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 풍덕천동 1198 래미안수지이스트파크,풍덕천1동
58,한국전력,래미안 수지 이스트파크,3,AC완속,경기도,용인시,경기도 용인시 수지구 풍덕천동 신수로683번길 19,37.3305836,127.1003832,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 풍덕천동 1198 래미안수지이스트파크,풍덕천1동
59,한국전력,래미안 수지 이스트파크,4,AC완속,경기도,용인시,경기도 용인시 수지구 풍덕천동 신수로683번길 19,37.3305836,127.1003832,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 풍덕천동 1198 래미안수지이스트파크,풍덕천1동
60,한국전력,래미안이스트팰리스3단지 아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 동천동 동천로135번길 21,37.3338596,127.0890372,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 동천동 932 한빛마을 래미안 이스트팰리스 3단지,동천동
61,한국전력,마평라이프아파트,1,AC완속,경기도,용인시,경기도 용인시 처인구 마평동 605-1,37.2320043,127.2143159,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 처인구 마평동 605-1 라이프아파트,동부동
62,한국전력,만현마을 롯데캐슬아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 만현로 25,37.3130672,127.0884511,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 상현동 859 만현마을롯데캐슬아파트,상현2동
63,한국전력,만현마을 롯데캐슬아파트,3,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 만현로 25,37.3130672,127.0884511,24시간,입주자외 출입제한 (긴급상황 이용가능),경기도 용인시 수지구 상현동 859 만현마을롯데캐슬아파트,상현2동
