시도,시군구,읍면동,단지코드,단지명,단지분류,도로명주소,세대수,총주차대수,cell_ycrd,cell_xcrd
경기도,용인기흥구,기흥동,A44690203,한보라마을 경남아너스빌,아파트,경기도 용인시 기흥구 한보라2로 167,600,542,37.2431637,127.1083463
경기도,용인기흥구,기흥동,A44690205,한보라마을휴먼시아7단지,아파트,경기도 용인시 기흥구 한보라2로 168,851,771,37.2447678,127.1084953
경기도,용인수지구,상현2동,A44852403,만현마을5단지현대,아파트,경기도 용인시 수지구 만현로 79,528,889,37.3086236,127.0867709
경기도,용인수지구,상현2동,A44852301,만현마을쌍용3차,아파트,경기도 용인시 수지구 만현로 99,375,677,37.3074042,127.0867405
경기도,용인수지구,상현2동,A44852108,만현마을쌍용1차,아파트,경기도 용인시 수지구 만현로 107,992,1353,37.3061564,127.0882807
경기도,용인수지구,상현2동,A44851604,만현마을두산위브,아파트,경기도 용인시 수지구 만현로 127,556,1281,37.3052123,127.0869069
경기도,용인수지구,풍덕천1동,A44876510,초입마을삼익풍림동아,아파트,경기도 용인시 수지구 문인로 59,1620,761,37.3320489,127.0960328
경기도,용인기흥구,보라동,A44695508,민속마을 신창미션힐,아파트,경기도 용인시 기흥구 사은로126번길 33,926,1534,37.2523963,127.122345
경기도,용인기흥구,보라동,A44658209,민속마을현대모닝사이드,아파트,경기도 용인시 기흥구 사은로126번길 46,1112,1770,37.2522675,127.1205248
경기도,용인기흥구,구갈동,A10026657,기흥역 롯데캐슬레이시티,아파트,경기도 용인시 기흥구 기흥역로 9,260,310,37.275657,127.115944
경기도,용인기흥구,구갈동,A10026636,기흥역지웰푸르지오(주상복합),아파트,경기도 용인시 기흥구 기흥역로 16,561,640,37.275657,127.115944
경기도,용인기흥구,구갈동,A10026083,힐스테이트기흥,아파트,경기도 용인시 기흥구 기흥역로 63,976,1218,37.275657,127.115944
경기도,용인수지구,죽전1동,A44897114,대지마을현대홈타운3차2단지,아파트,경기도 용인시 수지구 대지로15번길 60,537,657,37.3326102,127.1143633
경기도,용인기흥구,신갈동,A44658413,새천년그린빌주공3단지,아파트,경기도 용인시 기흥구 새천년로16번길 16,693,717,37.2883351,127.1102315
경기도,용인기흥구,서농동,A10027657,서천2차아이파크아파트,아파트,경기도 용인시 기흥구 서천동로21번길 5,289,316,37.2391562,127.0769117
경기도,용인수지구,죽전2동,A44854807,죽전아이뷰,아파트,경기도 용인시 수지구 현암로 3,432,471,37.3321015,127.1101026
경기도,용인수지구,상현1동,A44813012,광교경남아너스빌,아파트,경기도 용인시 수지구 광교마을로 2,700,1022,37.297037,127.06924
경기도,용인수지구,상현1동,A44813015,광교마을45단지,아파트,경기도 용인시 수지구 광교마을로 11,672,1081,37.2964591,127.0715785
경기도,용인수지구,죽전1동,A44816006,도담마을롯데캐슬,아파트,경기도 용인시 수지구 대지로 64,231,316,37.3285682,127.116452
경기도,용인수지구,죽전1동,A44816017,도담마을휴먼빌아파트,아파트,경기도 용인시 수지구 대지로 77,260,288,37.3301124,127.117384
경기도,용인수지구,풍덕천2동,A44855001,태영데시앙2차,아파트,경기도 용인시 수지구 풍덕천로22번길 67,249,249,37.3142837,127.0826342
경기도,용인수지구,풍덕천2동,A44899103,이스턴팰리스아파트,아파트,경기도 용인시 수지구 풍덕천로30번길 20,174,501,37.316251,127.0875507
경기도,용인수지구,상현1동,A44852511,광교상현마을 현대아파트,아파트,경기도 용인시 수지구 상현로 2,498,621,37.3017107,127.0734575
경기도,용인수지구,상현1동,A44852214,광교쌍용포레듀엔1단지,아파트,경기도 용인시 수지구 상현로 27,421,820,37.3028389,127.0771536
경기도,용인수지구,상현1동,A44813014,광교쌍용포레듀엔 2단지,아파트,경기도 용인시 수지구 상현로 30-6,315,630,37.3016213,127.0770196
경기도,용인수지구,상현1동,A44851512,광교쌍용포레듀엔3단지,아파트,경기도 용인시 수지구 상현로 30-9,251,256,37.301998,127.0784092
경기도,용인수지구,상현1동,A44851913,광교상떼빌파크뷰(구 상현마을성원상떼빌아파트),아파트,경기도 용인시 수지구 상현로 30-10,968,1760,37.3001978,127.0779709
경기도,용인수지구,상현1동,A44851508,금호베스트빌2단지,아파트,경기도 용인시 수지구 상현로 58,407,787,37.3029745,127.0801141
경기도,용인수지구,상현1동,A44813004,수지금호베스트빌TheEdu,아파트,경기도 용인시 수지구 상현로 59,573,1058,37.304557,127.07955
경기도,용인수지구,상현1동,A44851503,금호베스트빌4단지,아파트,경기도 용인시 수지구 상현로 67-12,224,563,37.3055452,127.080684
경기도,용인수지구,상현2동,A44851610,상현현대성우3차,아파트,경기도 용인시 수지구 상현로 88,336,653,37.304552,127.0847265
경기도,용인수지구,상현2동,A44851609,상현마을현대성우1차,아파트,경기도 용인시 수지구 상현로 100,470,788,37.304552,127.0847265
