시군명,사업장명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
용인시,상록수산업,17088,경기도 용인시 기흥구 지곡동 379-2번지,경기도 용인시 기흥구 지삼로 141,37.24490845,127.1320991
용인시,대연환경,17135,경기도 용인시 처인구 이동읍 화산리 664-1번지,경기도 용인시 처인구 이동읍 화산로 19,37.1453153,127.204124
용인시,강남엔비코㈜,,,경기도 용인시 기흥구 용구대로 2219번길50,,
용인시,태성산업,17166,경기도 용인시 처인구 원삼면 맹리 384-2번지,경기도 용인시 처인구 원삼면 수정로6번길 31-1,37.19536322,127.340924
용인시,㈜에이치원리사이클링,17118,경기도 용인시 처인구 남사면 북리 22번지,경기도 용인시 처인구 남사면 형제로45번길 11,37.14587022,127.1587419
용인시,에스앤지엔터프라이즈,17166,경기도 용인시 처인구 원삼면 좌항리 316-38번지,경기도 용인시 처인구 원삼면 원양로 553-5,37.19808652,127.3172264
용인시,청맥산업주식회사,17126,경기도 용인시 처인구 이동읍 서리 748,경기도 용인시 처인구 이동면 서리 748,37.21777366,127.1716321
용인시,㈜대경오앤티용인2지점,17180,"경기도 용인시 처인구 백암면 고안리 168-5, 6","경기도 용인시 처인구 백암면 고안리 168-5, 6",37.12173124,127.4094375
용인시,㈜알케이유나이티드,16945,경기도 용인시 기흥구 신갈동 571번지,경기도 용인시 기흥구 신정로237번길 61,37.29104258,127.0912746
용인시,㈜법면녹화육운,17168,경기도 용인시 처인구 원삼면 독성리 204-5번지 21,경기도 용인시 처인구 원삼면 가재월로 23,37.16827911,127.3243425
용인시,청원영농조합법인,17180,경기도 용인시 처인구 백암면 고안리 1332번지,경기도 용인시 처인구 백암면 고안로32번길 110,37.12565344,127.3952799
용인시,동양비료㈜,17180,,경기도 용인시 처인구 백암면  고안로32번길 121,,
용인시,(주)동우바이오,17182,경기도 용인시 처인구 백암면 석천리 200-4번지,경기도 용인시 처인구 백암면 삼백로 367-21,37.10490393,127.3752271
용인시,대한산업,17137,경기도 용인시 처인구 이동읍 송전리 127번지,경기도 용인시 처인구 이동읍 경기동로785번길 50-25,37.13223424,127.2081295
용인시,삼호환경기술㈜,17118,경기도 용인시 처인구 남사면 북리 84-1번지,경기도 용인시 처인구 남사면 경기동로256번길 19,37.13789048,127.1560244
용인시,진성테크㈜,17127,경기도 용인시 처인구 이동읍 서리 117-8번지,경기도 용인시 처인구 이동읍 서리로101번길 53-29,37.1873065,127.1799094
용인시,태성환경,16972,경기도 용인시 기흥구 구갈동 354번지 라파빌딩 602호,경기도 용인시 기흥구 구갈로60번길 9-1,37.27996041,127.1123023
용인시,나라환경,17100,경기도 용인시 기흥구 공세동 382-1 호수청구아파트 상가동 103호,경기도 용인시 기흥구 공세로 226,37.24018789,127.1033529
용인시,산성자원환경,16882,경기도 용인시 수지구 죽전동 1355번지 광명샤인빌 상가동 102호,경기도 용인시 수지구 디지털벨리로 3,37.3277041,127.1317104
용인시,송림톱밥,17176,경기도 용인시 처인구 원삼면 두창리 1074-3,경기도 용인시 처인구 원삼면 두창호수로 1,37.15509342,127.3417578
용인시,ks환경,17118,경기도 용인시 처인구 남사면 봉명리 245-1,경기도 용인시 처인구 남사면 통삼로 209,37.11720572,127.1303628
용인시,신천자원,17174,경기도 용인시 처인구 백암면 가좌리 29,경기도 용인시 처인구 백암면 석실로34번길 92-7,37.18406361,127.3473941
용인시,㈜월드로지스,17074,경기도 용인시 기흥구 하갈동 143-4 세월빌딩 401호,경기도 용인시 기흥구 용구대로 1859,37.25409872,127.1046338
용인시,골드메탈,17134,경기도 용인시 처인구 이동읍 시미리 201-1,경기도 용인시 처인구 이동읍 안터로15번길 43,37.15998104,127.2112328
용인시,㈜지엔씨리사이클링,17175,경기도 용인시 처인구 원삼면 가재월리 720,경기도 용인시 처인구 원삼면 원양로246번길 136-2,37.17708724,127.3191437
용인시,대일자원,17006,경기도 용인시 기흥구 중동 849-2번지 씨티프라자 801 C103,경기도 용인시 기흥구 동백중앙로 191,37.2707976,127.1528544
용인시,㈜에스닥스,16945,경기도 용인시 기흥구 신갈동 302-1,경기도 용인시 기흥구 신정로 206,37.28901685,127.1007225
용인시,㈜와이제이로지스,16975,경기도 용인시 기흥구 구갈동 378-1번지 3층,경기도 용인시 기흥구 기흥로 32,37.27884849,127.1161908
용인시,㈜나눔,17126,경기도 용인시 처인구 이동읍 서리 572-2번지,경기도 용인시 처인구 이동읍 백자로 184,37.20727615,127.1719354
용인시,㈜네이처위드,17130,경기도 용인시 처인구 이동읍 덕성리 268-5번지 101호,경기도 용인시 처인구 이동읍 백옥대로 501,37.18199883,127.2029037
용인시,대한환경자원,16945,경기도 용인시 기흥구 신갈동 568-1번지,경기도 용인시 기흥구 신정로237번길 46-12,37.29137464,127.093023
용인시,㈜디엘산업개발,17121,경기도 용인시 처인구 남사면 창리 506-2번지,경기도 용인시 처인구 남사면 경기동로 496,37.13939284,127.1773217
용인시,협우상사,17137,경기도 용인시 처인구 이동읍 송전리 92번지,경기도 용인시 처인구 이동읍 경기동로785번길 123-3,37.13756721,127.2139625
용인시,강남푸른환경,17067,경기도 용인시 기흥구 상갈동 121-2번지 신갈종합시장 312호,경기도 용인시 기흥구 상갈로23번길 8,37.26871139,127.1069646
용인시,㈜청운,17128,경기도 용인시 처인구 이동읍 천리 130-7번지 401호,경기도 용인시 처인구 이동읍 이원로 12,37.18977567,127.2076769
용인시,삼형제자원,17067,경기도 용인시 기흥구 상갈동 121-2번지 신갈종합시장 315호,경기도 용인시 기흥구 상갈로23번길 8,37.26871139,127.1069646
용인시,대명환경개발,17138,경기도 용인시 처인구 이동읍 묘봉리 807-5번지 반도상사 101호,경기도 용인시 처인구 이동읍 문화로 110,37.13336531,127.2156502
용인시,록원자원,16983,경기도 용인시 기흥구 언남동 7번지,경기도 용인시 기흥구 언동로30번길 64,37.2847136,127.1341856
용인시,삼우환경산업,17118,경기도 용인시 처인구 남사면 통삼리 282,경기도 용인시 처인구 남사면 통삼로317번길 13,37.12725339,127.1294681
용인시,청송산업개발㈜,17121,경기도 용인시 처인구 남사면 창리 506-2번지,경기도 용인시 처인구 남사면 경기동로 496,37.13939284,127.1773217
용인시,태양리사이클,17180,경기도 용인시 처인구 백암면 백봉리 834-2번지,경기도 용인시 처인구 백암면 백암로 31-3,37.1518424,127.3855881
용인시,창대철강,17160,경기도 용인시 처인구 양지면 송문리 144-2,경기도 용인시 양지면 송문리 144-2,37.22554912,127.2575879
용인시,㈜그린서림,17118,경기도 용인시 처인구 남사면 봉명리 220,경기도 용인시 남사면 봉명리 220,37.11465098,127.1263531
용인시,경인타이어,17037,"경기도 용인시 처인구 모현읍 초부리 121-1, 121-2, 121-3","경기도 용인시 모현읍 초부리 121-1, 121-2, 121-3",37.31337788,127.2506417
용인시,아트라스네트워크,16995,"경기도 용인시 기흥구 중동 760-1번지 가동 7,8호",경기도 용인시 기흥구 어정로 134-8,37.27479838,127.1453757
용인시,㈜에스닥스,16945,경기도 용인시 기흥구 신갈동 302-1번지,경기도 용인시 기흥구 신정로 206,37.28901685,127.1007225
용인시,스마일리싸이클링,17088,경기도 용인시 기흥구 지곡동 292-1번지,경기도 용인시 기흥구 지삼로 219,37.23904731,127.1361011
용인시,조광환경산업개발㈜,16983,경기도 용인시 기흥구 언남동 2-2,경기도 용인시 기흥구 언동로30번길 87,37.28245999,127.1351289
용인시,광일토건환경㈜,17090,경기도 용인시 처인구 삼가동 145-3,경기도 용인시 처인구 중부대로 1014,37.24704426,127.1614634
용인시,우리농장,17175,경기도 용인시 처인구 원삼면 가재월리 316번지,경기도 용인시 처인구 원삼면 가재월로 147,37.1761988,127.3278105
용인시,행복유지,17134,경기도 용인시 처인구 이동읍 시미리 595-5번지,경기도 용인시 처인구 이동읍 백옥대로195번길 19-9,37.15456082,127.2036532
용인시,석영개발㈜,16827,경기도 용인시 수지구 동천동 853-1 현대F&G 508-A호,경기도 용인시 수지구 문인로 30,37.33392426,127.1001375
용인시,복지자원,17118,경기도 용인시 처인구 남사면 통삼리 661번지,경기도 용인시 처인구 남사면 서촌로 146,37.14308541,127.1289092
용인시,관기실업,16956,경기도 용인시 기흥구 영덕동 390-1번지 황곡프라자 335호,경기도 용인시 기흥구 영통로525번길 24,37.26585121,127.0761046
용인시,진성환경,17067,경기도 용인시 기흥구 상갈동 121-2번지 신갈종합시장 314호,경기도 용인시 기흥구 상갈로23번길 8,37.26871139,127.1069646
용인시,(주)우정테크,17182,경기도 용인시 처인구 백암면 장평리 267-2번지,경기도 용인시 처인구 백암면 한택로 357,37.11665478,127.3861648
용인시,(유)청명(용인지점),17180,경기도 용인시 처인구 백암면 고안리 610-2번지,경기도 용인시 처인구 백암면 고안로51번길 142-33,37.1407362,127.4166861
용인시,㈜엑소콤,17118,경기도 용인시 처인구 남사면 봉명리 275-3번지,경기도 용인시 처인구 남사면 수세로86번길 8,37.11459184,127.1311348
용인시,진현화학,17135,,경기도 용인시 처인구 이동면 화산로 137,,
용인시,㈜그린서림,17118,경기도 용인시 처인구 남사면 봉명리 219번지,경기도 용인시 처인구 남사면 통삼로169번길 15,37.11475958,127.125892
용인시,대구수지,17138,경기도 용인시 처인구 이동읍 송전리 117-2번지,경기도 용인시 처인구 이동읍 문화로 116,37.13375361,127.2151786
용인시,㈜에이치알테크놀노지,17124,경기도 용인시 처인구 남사면 원암리 180-7번지,경기도 용인시 처인구 남사면 원암로 20,37.09097978,127.1504635
용인시,㈜알엔씨,17175,경기도 용인시 처인구 원삼면 가재월리 720-1번지,경기도 용인시 처인구 원삼면 원양로246번길 134,37.1771131,127.319583
용인시,디에이치리사이클링㈜,16945,경기도 용인시 기흥구 신갈동 567번지,경기도 용인시 기흥구 신정로237번길 46,37.29078888,127.0931351
용인시,비에스산업,17179,경기도 용인시 처인구 백암면 박곡리 512-2번지,경기도 용인시 처인구 백암면 박곡로 140,37.17361303,127.3906635
용인시,가온환경,17180,경기도 용인시 처인구 백암면 고안리 610-2번지,경기도 용인시 처인구 백암면 고안로51번길 142-33,37.1407362,127.4166861
용인시,㈜에이엠비,17183,경기도 용인시 처인구 백암면 옥산리 990-2번지,경기도 용인시 처인구 백암면 한택로 225,37.11059796,127.3949772
